;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DateTime;;;;;;;;;;;;;;;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;HR;;;;;;;;;;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;%;;;;;;;;;;
01-01-2023 06:342;63;37;1,6;0;244;16,8;0;14;16,7;30,7;2,3;16,4;16;58,5;;;;;;;;;;
01-01-2023 01:343;60;34;0,8;0;202;17,8;0;9,3;13,1;22,4;1,9;14,5;0;64,3;;;;;;;;;;
01-01-2023 02:343;78;40;0,5;0;156;7,8;0;17,2;21,5;38,7;2,4;13,8;0;67,6;;;;;;;;;;
01-01-2023 03:343;85;41;0,5;0;11;6,8;0;30,5;23,6;54,1;1,9;14,2;0;66,5;;;;;;;;;;
01-01-2023 04:343;45;32;0,6;0;147;17,2;0;5,7;10;15,7;1,3;13,6;0;66;;;;;;;;;;
01-01-2023 05:343;47;32;1;0;115;16,7;0;5,3;9,7;15;1,5;12,8;0;68,1;;;;;;;;;;
01-01-2023 06:343;54;36;0,6;0;150;10;0;6,5;13,6;20,1;2,8;12,5;0;67,9;;;;;;;;;;
01-01-2023 01:344;59;50;0,7;0;229;6,7;0;9,8;17,4;27,2;14,3;12,9;0;71,7;;;;;;;;;;
01-01-2023 02:344;56;37;1,3;0;234;6,3;0;7,8;14,5;22,3;8,1;12,9;0;72,4;;;;;;;;;;
01-01-2023 03:344;53;46;0,8;0;269;8,4;0;5,6;13,1;18,7;3,9;12,5;0;72,4;;;;;;;;;;
01-01-2023 04:344;57;41;0,2;0;184;6;0;9;14,8;23,8;2,7;12,4;0;73,2;;;;;;;;;;
01-01-2023 05:344;64;39;0,6;0;140;6,4;0;7,5;12,9;20,4;2,1;12;0;72;;;;;;;;;;
01-01-2023 06:344;48;35;1;0;132;10,6;0;8,1;13,5;21,6;1,4;11,7;0;74,4;;;;;;;;;;
01-01-2023 01:345;48;33;0,9;0;128;8,4;0;12,8;16,5;29,3;1,5;12,5;13;73;;;;;;;;;;
01-01-2023 02:345;45;25;1,3;0;131;15,8;0;7,6;7,4;15;1,1;14;91;69,7;;;;;;;;;;
01-01-2023 03:345;35;24;0;0;0;0;0;0;0;0;0;21;0;0;;;;;;;;;;
01-01-2023 04:345;21;21;0;0;0;0;0;0;0;0;0;23,2;0;0;;;;;;;;;;
01-01-2023 05:345;40;24;1,2;0,2;130;26,4;0,8;5,6;5,2;10,8;1,1;20,1;139;47;;;;;;;;;;
01-01-2023 06:345;60;41;0,9;4,1;155;14,8;0,4;6,2;12,4;18,6;1,4;14,7;135;69,8;;;;;;;;;;
01-01-2023 01:346;35;23;0,7;0;131;28,2;0,2;5,9;3,7;9,6;1,5;20,7;457;55,4;;;;;;;;;;
01-01-2023 02:346;70;38;2,7;0;219;32,8;0,3;7,3;4,9;12,2;1,5;21,5;456;48,7;;;;;;;;;;
01-01-2023 03:346;54;29;2,1;0;198;36,2;0,2;4,7;3;7,7;1,5;23,9;467;45;;;;;;;;;;
01-01-2023 04:346;68;35;4;0;236;26,9;0,5;11,6;8,3;19,9;1,7;19,2;233;57,2;;;;;;;;;;
01-01-2023 05:346;80;38;2,5;0;322;19,1;0,9;20,7;19,3;40;2,1;17,3;126;63,1;;;;;;;;;;
01-01-2023 06:346;82;37;1,3;0;283;15,4;1;19,3;22;41,3;2,5;16,3;4;64,9;;;;;;;;;;
01-01-2023 01:347;82;39;1,3;0;261;11,3;1,2;16,6;22,8;39,4;2,7;15,4;0;69;;;;;;;;;;
01-01-2023 02:347;108;50;1,6;0;254;5,3;1,4;23,9;29;53;5,1;14,9;0;71,4;;;;;;;;;;
01-01-2023 03:347;69;34;1,8;0;261;10,9;0,9;15,7;24,3;40;3,8;14,3;0;68;;;;;;;;;;
01-01-2023 04:347;64;38;1,4;0;257;12,4;0,8;12,7;22,8;35,5;3,6;14,1;0;68;;;;;;;;;;
01-01-2023 05:347;95;40;1,2;0;285;10,4;0,8;14,9;22,7;37,6;6,6;14,2;0;68,8;;;;;;;;;;
01-01-2023 06:347;45;29;1,6;0;251;12,6;0,4;9,4;18,1;27,5;4,1;13,8;0;67,2;;;;;;;;;;
01-01-2023 01:348;34;25;1,3;0;253;13,9;0,2;6,5;16,1;22,6;5,5;12,9;0;70,3;;;;;;;;;;
01-01-2023 02:348;37;24;1;0;271;18,7;0,2;5;11,5;16,5;4,9;12,9;0;70,2;;;;;;;;;;
01-01-2023 03:348;18;18;0,8;0;293;24,8;0,1;3,6;4,5;8,2;1,6;12,9;0;67,5;;;;;;;;;;
01-01-2023 04:348;25;25;1;0;232;17,3;0,2;8,1;11,6;19,7;1,5;12,7;0;68,1;;;;;;;;;;
01-01-2023 05:348;59;36;1,2;0;249;7,8;0,4;18,3;19,7;38;2,3;12,6;0;70,7;;;;;;;;;;
01-01-2023 06:348;80;48;1,2;0;240;2,8;1,1;43,4;24;67,4;6,2;12,5;0;74,5;;;;;;;;;;
01-01-2023 01:349;66;38;0,2;0,1;212;3,2;1,1;30,5;24,4;54,9;3,5;12,3;8;75,3;;;;;;;;;;
01-01-2023 02:349;47;36;0,5;0;130;6,7;0,7;25,9;20,3;46,2;2,4;13,5;84;75,4;;;;;;;;;;
01-01-2023 03:349;26;26;0,9;0;149;16,8;0,3;11,9;8;19,9;2,3;17,8;267;62,8;;;;;;;;;;
01-01-2023 04:349;15;15;1,5;0;143;27;0,2;4,5;2;6,6;1,3;19,6;225;52,5;;;;;;;;;;
01-01-2023 05:349;19;19;1,3;0;156;26,9;0,2;3,4;3,4;6,8;1,3;16,6;43;55,8;;;;;;;;;;
01-01-2023 06:349;0;23;1;0;144;25,7;0,3;5,1;6,3;11,4;1,2;15,9;39;59,3;;;;;;;;;;
01-01-2023 01:350;34;21;1,3;0;160;25,3;0,2;4,5;3,9;8,5;1,3;16,8;132;59,7;;;;;;;;;;
01-01-2023 02:350;35;22;1,4;0;182;27,6;0,2;4,4;2,2;6,6;1,8;18,4;186;55,3;;;;;;;;;;
01-01-2023 03:350;44;26;2,6;0;235;21,1;0,6;15,8;12,3;28,1;2;16,1;105;63,7;;;;;;;;;;
01-01-2023 04:350;52;23;1,7;0;258;16,7;0,7;19,2;16,5;35,7;3,1;15,4;112;68,7;;;;;;;;;;
01-01-2023 05:350;41;24;0,5;0;78;18,5;0,7;15,6;18,6;34,2;2,7;16,1;95;64,9;;;;;;;;;;
01-01-2023 06:350;35;23;0,9;0;147;23;0,4;5,8;11,7;17,5;1,9;17,1;59;60,9;;;;;;;;;;
01-01-2023 01:351;49;33;0,5;0;147;16,2;0,5;4,6;11,4;16;1,4;13,3;0;64,5;;;;;;;;;;
01-01-2023 02:351;71;36;1;0;249;5,1;1,3;24,9;28,1;53;1,8;13,7;0;72,6;;;;;;;;;;
01-01-2023 03:351;58;33;0,6;0;166;3,3;1;21,1;26,6;47,6;1,7;11,9;0;72,5;;;;;;;;;;
01-01-2023 04:351;46;33;1,1;0;134;4,5;0,6;16;19,9;35,9;1,3;10,7;0;73,3;;;;;;;;;;
01-01-2023 05:351;38;26;1;0;126;3,9;0,6;14,8;18,4;33,3;2,4;10,1;0;74,7;;;;;;;;;;
01-01-2023 06:351;39;27;1,3;0;113;10,5;0,3;6,4;11,2;17,6;2,9;10,3;0;74,5;;;;;;;;;;
01-01-2023 01:352;37;27;0,7;0;122;12,4;0,3;4,5;9,3;13,9;2,8;9,9;0;74,1;;;;;;;;;;
01-01-2023 02:352;27;23;0,9;0;124;14,2;0,2;3,7;7,3;10,9;2,4;10,1;0;75,5;;;;;;;;;;
01-01-2023 03:352;20;20;0,9;0;132;17,5;0,1;3,4;4,2;7,7;1,4;10,4;0;72,9;;;;;;;;;;
01-01-2023 04:352;86;46;1,2;0;293;4;0,7;36,2;16,9;53,1;14,8;10,3;0;77,2;;;;;;;;;;
01-01-2023 05:352;90;58;0,8;0;304;2,7;0,8;45,3;18,4;63,6;8,8;10,5;0;78;;;;;;;;;;
01-01-2023 06:352;80;61;0,4;0;124;2,6;0,9;46,8;20,2;67;6,5;10,3;0;77,3;;;;;;;;;;
01-01-2023 01:353;68;43;1;0;126;5,9;1;43,8;21,6;65,4;4;11,1;13;77,8;;;;;;;;;;
01-01-2023 02:353;37;27;1,2;0;136;19;0,4;8,7;9;17,7;2,1;15,7;137;67;;;;;;;;;;
01-01-2023 03:353;30;23;1,3;0;138;26,6;0,2;5,4;4,5;10,1;1,7;17;166;56,8;;;;;;;;;;
01-01-2023 04:353;29;19;1,5;0;141;30,1;0,2;4,4;1,3;5,7;1,3;20,5;388;50,3;;;;;;;;;;
01-01-2023 05:353;31;26;1,8;0;140;32,2;0,2;3,4;0,6;4;1,4;21;325;47,1;;;;;;;;;;
01-01-2023 06:353;28;23;2;0;127;31,2;0,2;4;0,2;4,2;1,4;21,4;531;47,4;;;;;;;;;;
01-01-2023 01:354;22;17;2;0;143;30,8;0,2;0;0;0;1,3;23,1;546;46,2;;;;;;;;;;
01-01-2023 02:354;27;21;2,2;0;143;31,5;0,2;0;0;0;1,4;24,3;795;44,2;;;;;;;;;;
01-01-2023 03:354;35;19;1,9;0;151;32,5;0,2;0;0;0;1,1;22,4;358;45,4;;;;;;;;;;
01-01-2023 04:354;36;23;1,5;0;161;30,8;0,3;3,1;0,2;3,3;1,7;20,5;188;48,4;;;;;;;;;;
01-01-2023 05:354;32;20;1,4;0;154;29,7;0,2;3,4;1,6;5;1,9;20,6;184;49;;;;;;;;;;
01-01-2023 06:354;50;27;1,6;0;162;27,3;0,3;2,9;4,3;7,3;2,4;19,2;41;49,5;;;;;;;;;;
01-01-2023 01:355;42;28;1;0;141;21,8;0,4;3,5;8,1;11,6;4,1;15,9;0;57,3;;;;;;;;;;
01-01-2023 02:355;33;26;1,2;0;124;19,5;0,5;5;9,7;14,7;3,3;14,7;0;60,4;;;;;;;;;;
01-01-2023 03:355;55;30;1,4;0;124;10,8;0,6;9,6;17,6;27,2;2,9;13,7;0;64,2;;;;;;;;;;
01-01-2023 04:355;47;33;1,1;0;138;14,3;0,4;5;11,5;16,5;1,3;12,5;0;67,1;;;;;;;;;;
01-01-2023 05:355;38;29;1,3;0;129;11,1;0,4;5,5;13,1;18,6;1,2;11,5;0;70,9;;;;;;;;;;
01-01-2023 06:355;43;28;1,5;0;130;20,2;0,2;3,3;5,9;9,3;1,1;11,8;0;71,3;;;;;;;;;;
01-01-2023 01:356;29;27;1,5;0;127;22,9;0,1;2,4;2,6;5;1;11;0;71,2;;;;;;;;;;
01-01-2023 02:356;32;20;1,4;0;127;19,9;0,1;2,5;2,9;5,4;1;10,1;0;71,4;;;;;;;;;;
01-01-2023 03:356;34;23;0,6;0;140;17,3;0,1;2,8;3,2;6,1;1,9;8,9;0;71,8;;;;;;;;;;
01-01-2023 04:356;38;30;0,7;0;122;13,3;0,2;3,7;8,5;12,2;2,2;8,5;0;74,3;;;;;;;;;;
01-01-2023 05:356;35;27;1,2;0;125;12;0,2;6,2;12,4;18,6;1,6;8,9;0;77,1;;;;;;;;;;
01-01-2023 06:356;41;33;1,4;0;114;12,4;0,4;8,9;15,6;24,5;1,2;9,8;0;74,7;;;;;;;;;;
01-01-2023 01:357;39;34;1,5;0;96;10,9;0,7;20,8;18,8;39,7;1,4;11,1;33;69,3;;;;;;;;;;
01-01-2023 02:357;48;30;1,6;0;119;18,1;0,4;11,6;9,4;21;1,4;13,5;103;65,4;;;;;;;;;;
01-01-2023 03:357;38;24;1,7;0;127;23,7;0,2;6,9;2,9;9,8;1,1;16,6;255;58,6;;;;;;;;;;
01-01-2023 04:357;44;28;1,6;0;131;26;0,2;5,6;1;6,6;1;19,5;333;51;;;;;;;;;;
01-01-2023 05:357;50;27;1,8;0;126;26,8;0,2;5,6;1,7;7,2;1;19,2;281;49,9;;;;;;;;;;
01-01-2023 06:357;43;24;2;0;120;27,3;0,3;5,9;1,9;7,8;1;20,4;427;48,8;;;;;;;;;;
01-01-2023 01:358;26;23;1,8;0;120;29,3;0,2;4,7;0,6;5,3;1,1;20,6;342;46;;;;;;;;;;
01-01-2023 02:358;33;26;2,7;0;55;25,6;0,4;11,1;5,7;16,8;1;18,9;190;47,2;;;;;;;;;;
01-01-2023 03:358;46;21;1;0;131;27,6;0,3;7,6;2,7;10,3;1;20,4;269;47,3;;;;;;;;;;
01-01-2023 04:358;37;24;1,4;0;67;24;0,4;12,6;5,6;18,2;1;19,8;132;43,9;;;;;;;;;;
01-01-2023 05:358;48;28;1,7;0;121;25,1;0,3;6,7;3;9,7;1,2;20,9;238;45,7;;;;;;;;;;
01-01-2023 06:358;57;33;1,6;0;140;23,1;0,3;3,7;3,5;7,2;2,3;17,2;37;52,2;;;;;;;;;;
01-01-2023 01:359;36;34;1,4;0;137;22,1;0,3;3,3;2,6;5,9;1;13,5;0;63;;;;;;;;;;
01-01-2023 02:359;39;33;1,4;0;132;15,9;0,5;4,8;9;13,7;1,1;12,4;0;68,2;;;;;;;;;;
01-01-2023 03:359;43;37;1,3;0;131;13,3;0,4;5,7;10;15,7;1,1;11,7;0;71,3;;;;;;;;;;
01-01-2023 04:359;54;34;1,2;0;132;10;0,5;6,4;12,9;19,3;1;11,2;0;73;;;;;;;;;;
01-01-2023 05:359;42;35;1,4;0;128;15;0,3;5,4;7,2;12,6;1,1;11,5;0;72,1;;;;;;;;;;
01-01-2023 06:359;31;27;1,2;0;130;20,6;0,2;3;1,9;5;1;12,6;0;69;;;;;;;;;;
01-01-2023 01:360;38;33;1,4;0;124;20;0,2;4,1;4,2;8,2;0,9;12,3;0;68,6;;;;;;;;;;
01-01-2023 02:360;39;29;1,6;0;114;21,7;0,2;3,1;2,2;5,3;1;11,4;0;71,2;;;;;;;;;;
01-01-2023 03:360;36;33;0,9;0;124;19,9;0,1;3,3;3;6,2;1,1;11;0;73;;;;;;;;;;
01-01-2023 04:360;30;29;0,9;0;129;19,6;0,2;3;3,1;6,1;1,1;11,5;0;72,9;;;;;;;;;;
01-01-2023 05:360;19;16;0,9;0;76;19;0,3;9,4;5,4;14,8;1;12;0;69,2;;;;;;;;;;
01-01-2023 06:360;58;33;0,9;0;54;7;1,1;43,7;16,5;60,2;1,5;11,9;0;69;;;;;;;;;;
01-01-2023 01:361;49;29;0,9;0;137;8,9;0,8;39,8;13,4;53,2;1,5;11,9;23;72;;;;;;;;;;
01-01-2023 02:361;98;29;1,7;0;131;15,9;0,3;8,3;4,1;12,4;1,3;14,4;166;69;;;;;;;;;;
01-01-2023 03:361;29;22;1,5;0;133;20,2;0,3;6,3;1,5;7,8;1,2;18,5;209;53,9;;;;;;;;;;
01-01-2023 04:361;27;22;1,2;0;147;23,6;0,2;0;0;0;1,1;17,2;133;56,2;;;;;;;;;;
01-01-2023 05:361;23;18;1,1;0;122;24;0,3;6,4;2,4;8,8;1;17,3;83;54,5;;;;;;;;;;
01-01-2023 06:361;30;20;1,5;0;89;22,5;0,5;10,5;6;16,5;1,1;17,2;137;53;;;;;;;;;;
01-01-2023 01:362;29;20;1,4;0;154;24,5;0,2;4,5;1;5,5;1,5;18,6;210;54,5;;;;;;;;;;
01-01-2023 02:362;24;16;1,4;0;172;26,8;0,2;0;0;0;1,2;20,9;362;48,9;;;;;;;;;;
01-01-2023 03:362;29;21;0,3;0;135;27,5;0,5;8,3;4,2;12,4;1,2;21,3;269;44,8;;;;;;;;;;
01-01-2023 04:362;24;17;1,1;0;127;24;0,4;8;4,2;12,3;1,2;21;157;43,3;;;;;;;;;;
01-01-2023 05:362;17;16;1,3;0;146;24,1;0,2;4,4;0;4,4;1;20,6;142;46,3;;;;;;;;;;
01-01-2023 06:362;33;26;1,1;0;140;20,1;0,3;4,3;3,1;7,4;1;18,3;21;51,9;;;;;;;;;;
01-01-2023 01:363;26;26;1;0;145;19;0,3;3,4;3,5;6,8;1,5;16,1;0;58,8;;;;;;;;;;
01-01-2023 02:363;37;21;1,3;0;138;18,7;0,3;4;3,4;7,5;1,1;14,9;0;64,3;;;;;;;;;;
01-01-2023 03:363;23;23;1;0;130;17,3;0,3;5,1;6,1;11,2;1;14,5;0;66,2;;;;;;;;;;
01-01-2023 04:363;14;13;1,1;0;145;17,5;0,3;3,3;3,9;7,2;0,9;13,7;0;69,3;;;;;;;;;;
01-01-2023 05:363;25;18;0,5;0;124;14,4;0,4;6,6;6,9;13,5;1,2;13,6;0;70,2;;;;;;;;;;
01-01-2023 06:363;47;34;0,9;0;194;5,7;0,7;12;16,4;28,4;1,6;13,5;0;72,8;;;;;;;;;;
01-01-2023 01:364;27;27;0,4;0;140;7,5;0,4;6,1;12,6;18,8;1,6;12,9;0;74,8;;;;;;;;;;
01-01-2023 02:364;0;17;0,8;0;138;12,2;0,2;3,8;5,3;9,1;1,3;13;0;72,9;;;;;;;;;;
01-01-2023 03:364;17;7;0,8;0;129;15,5;0,1;3,4;2,4;5,8;1,2;12,9;0;71,2;;;;;;;;;;
01-01-2023 04:364;0;12;0,8;0;131;16,3;0,1;3,2;1,5;4,7;1,2;12,2;0;74;;;;;;;;;;
01-01-2023 05:364;0;8;1;0;132;18,1;0,1;3;0;2,8;1;12;0;70,3;;;;;;;;;;
01-01-2023 06:364;0;11;1,1;0;128;19,8;0,1;0;0;0;0,9;12,2;0;68,5;;;;;;;;;;
01-01-2023 01:365;0;11;0,8;0;135;15,2;0,2;4,3;2,1;6,3;1,6;12,3;8;70,2;;;;;;;;;;
01-01-2023 02:365;0;6;1,9;0;131;15,4;0,1;0;0;0;1;14,1;118;68,3;;;;;;;;;;
01-01-2023 03:365;0;7;1,6;0;131;16,8;0,1;0;0;0;0,9;15,8;183;64,4;;;;;;;;;;
01-01-2023 04:365;0;7;1,4;0;134;15,7;0,1;0;0;0;1,1;17;215;63,1;;;;;;;;;;
01-01-2023 05:365;0;8;1,8;0;138;15,2;0,1;0;0;0;1,2;17,3;308;63,3;;;;;;;;;;
01-01-2023 06:365;0;10;1,7;0,2;149;14,2;0,1;0;0;0;1;17,6;356;64,4;;;;;;;;;;
01-01-2023 01:366;8;7;2;0;140;12,8;0,1;0;0;0;1;19,4;460;58,1;;;;;;;;;;
01-01-2023 02:366;9;5;2,3;0;136;14,8;0,1;0;0;0;1;21,6;676;50,5;;;;;;;;;;
01-01-2023 03:366;8;8;2;0;125;15,4;0,1;0;0;0;1,1;20,2;263;47,8;;;;;;;;;;
01-01-2023 04:366;7;7;1,7;0;147;14,4;0,1;0;0;0;0,9;19;211;53;;;;;;;;;;
01-01-2023 05:366;0;12;1,8;0;141;13,7;0,2;0;0;0;0,9;18,4;154;54,1;;;;;;;;;;
01-01-2023 06:366;0;14;1,7;0;140;13,1;0,2;0;0;0;0,9;15,9;40;58,2;;;;;;;;;;
01-01-2023 01:367;0;10;1,3;0;144;9,9;0,2;5;1,1;6,1;1;13,8;0;62,7;;;;;;;;;;
01-01-2023 02:367;0;11;1,2;0;154;8,4;0,2;5,4;1,8;7,2;0,9;13;0;65;;;;;;;;;;
01-01-2023 03:367;11;9;1,3;0;118;6,4;0,3;9;3,8;12,7;1,7;12,8;0;65,5;;;;;;;;;;
01-01-2023 04:367;12;12;1,7;0;124;7,8;0,2;6,6;0,9;7,5;1;12,1;0;67,6;;;;;;;;;;
01-01-2023 05:367;10;10;2,1;0;118;10,8;0,1;0;0;0;0,8;11,8;0;66,9;;;;;;;;;;
01-01-2023 06:367;0;8;1,2;0;126;10,1;0;0;0;0;1;11,6;0;65,2;;;;;;;;;;
01-01-2023 01:368;0;6;1,6;0;129;12,4;0;0;0;0;1;11,6;0;65,7;;;;;;;;;;
01-01-2023 02:368;0;10;1,1;0;135;11,4;0;0;0;0;1,3;11,1;0;66,5;;;;;;;;;;
01-01-2023 03:368;0;11;1,6;0;126;13,4;0;0;0;0;0,9;10,3;0;69,1;;;;;;;;;;
01-01-2023 04:368;10;10;1,2;0;104;11,1;0;4,1;0,3;4,4;1,3;9,8;0;71,4;;;;;;;;;;
01-01-2023 05:368;20;16;0,7;0;122;4,5;0,1;9,7;6,7;16,4;1,1;9,8;0;71,2;;;;;;;;;;
01-01-2023 06:368;22;14;1;0;117;4,7;0,2;13,2;7,9;21,2;1,1;10,9;0;70,3;;;;;;;;;;
01-01-2023 01:369;20;14;1,6;0;121;7,2;0,3;14,3;4;18,3;1;11,9;42;67,3;;;;;;;;;;
01-01-2023 02:369;18;11;1,5;0;138;12,2;0,1;0;0;0;1;16,2;160;55,8;;;;;;;;;;
01-01-2023 03:369;15;9;1,9;0;112;13,5;0,2;0;0;0;1,1;20;442;45;;;;;;;;;;
01-01-2023 04:369;23;10;2;0;93;14,7;0,1;0;0;0;1,1;20,5;507;42;;;;;;;;;;
01-01-2023 05:369;15;15;2;0;111;16,4;0,1;0;0;0;1;20,9;491;43;;;;;;;;;;
01-01-2023 06:369;17;12;2,1;0;102;17,8;0,1;0;0;0;0,9;21,4;453;40,9;;;;;;;;;;
01-01-2023 01:370;17;8;2,5;0;108;17,5;0,2;0;0;0;1;22,6;818;40,6;;;;;;;;;;
01-01-2023 02:370;18;9;2,5;0;106;18,6;0,1;0;0;0;0,9;22,9;758;38,9;;;;;;;;;;
01-01-2023 03:370;18;16;2,1;0;106;18,8;0,1;0;0;0;0,9;23,2;482;38,3;;;;;;;;;;
01-01-2023 04:370;6;6;1,5;0;109;20,1;0,2;0;0;0;1;22,3;227;37;;;;;;;;;;
01-01-2023 05:370;24;17;1,6;0;114;18,4;0,2;0;0;0;1,1;21,3;183;40,3;;;;;;;;;;
01-01-2023 06:370;35;21;1,5;0;153;15,1;0,3;5,2;1,9;7,2;2,1;17,6;23;51,1;;;;;;;;;;
01-01-2023 01:371;21;17;1,3;0;136;12,7;0,3;5,4;3,4;8,8;1,1;14,4;0;58,8;;;;;;;;;;
01-01-2023 02:371;31;14;0,8;0;151;11,5;0,3;4,5;3,9;8,5;1,1;13,2;0;64,1;;;;;;;;;;
01-01-2023 03:371;38;21;0,8;0;137;8,3;0,3;5,8;6,3;12,1;0,9;12,4;0;67,8;;;;;;;;;;
01-01-2023 04:371;31;21;1;0;140;7,2;0,2;5,9;6,2;12,1;1;12,6;0;68,6;;;;;;;;;;
01-01-2023 05:371;29;15;1,1;0;138;7,5;0,2;6,2;4,4;10,6;0,9;12;0;69,5;;;;;;;;;;
01-01-2023 06:371;19;16;1,3;0;114;12;0,1;4,1;1,6;5,7;0,9;12;0;71,7;;;;;;;;;;
01-01-2023 01:372;32;22;0,8;0;132;10,5;0,1;3,6;3,3;6,8;1,1;11,7;0;72,1;;;;;;;;;;
01-01-2023 02:372;27;15;0,5;0;153;12,9;0;3;0,8;3,8;1,1;12,1;0;70,7;;;;;;;;;;
01-01-2023 03:372;20;20;0,6;0;126;15,2;0,1;2,8;0;2,6;1;11;0;67,4;;;;;;;;;;
01-01-2023 04:372;17;17;0,6;0;142;15,2;0;2,8;1,1;3,9;1;9,4;0;67,3;;;;;;;;;;
01-01-2023 05:372;31;18;1,1;0;124;9,7;0,1;6,2;7,9;14,1;1,1;9,2;0;68,5;;;;;;;;;;
01-01-2023 06:372;23;14;1,3;0;133;8,8;0,2;8;8,8;16,8;0,9;9,8;0;67,8;;;;;;;;;;
01-01-2023 01:373;22;17;1,6;0;120;9,6;0,3;10,3;8,2;18,5;1,6;10,8;28;64,7;;;;;;;;;;
01-01-2023 02:373;26;13;1,6;0;129;14,1;0,2;10,1;3,6;13,7;1,3;13,4;128;58;;;;;;;;;;
01-01-2023 03:373;23;14;0;0;0;0;0;0;0;0;0;17,9;0;0;;;;;;;;;;
01-01-2023 04:373;28;13;0;0;0;0;0;0;0;0;0;21,8;0;0;;;;;;;;;;
01-01-2023 05:373;27;12;2,3;0;149;21,4;0,1;0;0;0;1;22,5;520;42,9;;;;;;;;;;
01-01-2023 06:373;24;19;1,8;0;125;25,4;0,1;2,6;2,3;4,9;0,9;23,2;463;39,5;;;;;;;;;;
01-01-2023 01:374;37;23;1,5;0;149;27;0,2;2,4;2;4,4;1,1;22,1;272;41;;;;;;;;;;
01-01-2023 02:374;26;21;1,4;0;158;26,5;0,2;3;2,3;5,3;1,1;20,7;176;44,7;;;;;;;;;;
01-01-2023 03:374;34;17;1,5;0;167;26,8;0,2;3,1;3,3;6,4;1,5;21,9;288;43,7;;;;;;;;;;
01-01-2023 04:374;37;25;1,4;0;165;27,3;0,2;2,9;3;5,9;1,4;21,7;263;44;;;;;;;;;;
01-01-2023 05:374;44;22;1,9;0;234;24,9;0,5;8,8;11,2;19,9;1,9;20,2;112;48;;;;;;;;;;
01-01-2023 06:374;57;32;2,2;0;227;16,3;0,8;14,6;20,1;34,8;1,9;17,2;20;61,3;;;;;;;;;;
01-01-2023 01:375;38;25;0,6;0;190;16,3;0,5;6,6;16,4;23,1;1,9;15,8;0;58,8;;;;;;;;;;
01-01-2023 02:375;34;25;0,8;0;158;16,7;0,4;3,6;12,3;15,8;1,1;14,6;0;60,7;;;;;;;;;;
01-01-2023 03:375;36;26;0,7;0;175;14,9;0,4;4,8;12,9;17,7;1,1;13,9;0;65,1;;;;;;;;;;
01-01-2023 04:375;64;31;0,4;0;175;7;0,8;18,7;27,2;45,9;1,8;13,3;0;69,6;;;;;;;;;;
01-01-2023 05:375;34;21;1;0;132;12,2;0,3;4,7;12,7;17,4;1;12,6;0;69,6;;;;;;;;;;
01-01-2023 06:375;47;21;1,2;0;126;10,7;0,2;4,7;14,5;19,3;1;12,7;0;68,7;;;;;;;;;;
01-01-2023 01:376;40;23;1;0;131;11,1;0,2;3,6;12;15,5;1,1;12,2;0;70,5;;;;;;;;;;
01-01-2023 02:376;49;33;0,8;0;131;13,1;0,2;3,2;9,6;12,8;3,9;12,8;0;70,4;;;;;;;;;;
01-01-2023 03:376;36;20;0,5;0;201;14,5;0,1;3,6;7,3;10,9;1,7;12,9;0;69,5;;;;;;;;;;
01-01-2023 04:376;42;26;1,3;0;259;6,9;0,3;10;17,1;27,1;5;12,9;0;69,9;;;;;;;;;;
01-01-2023 05:376;70;40;0,8;0;291;2,9;0,6;26,9;22,7;49,7;3,9;12,7;0;73,7;;;;;;;;;;
01-01-2023 06:376;53;35;1,7;0;324;3,1;0,8;38,6;24,4;63,1;2,3;12;0;76,1;;;;;;;;;;
01-01-2023 01:377;34;34;1,2;1,4;312;2,9;1,1;42,8;27,2;70,1;1,6;10,7;2;79,5;;;;;;;;;;
01-01-2023 02:377;36;36;0,4;0;254;3,3;1,3;55,4;28,5;83,8;1,5;11;47;82;;;;;;;;;;
01-01-2023 03:377;29;27;1,2;0;124;12,7;0,4;17,4;12,3;29,7;1,4;15,8;261;70,5;;;;;;;;;;
01-01-2023 04:377;36;21;0,8;0;135;23;0,2;7,4;5,4;12,7;1,1;21,6;379;49,5;;;;;;;;;;
01-01-2023 05:377;104;48;1,7;0;8;16,3;1,1;37,3;37,5;74,8;1,5;17,9;98;51,1;;;;;;;;;;
01-01-2023 06:377;48;36;1;0;183;21,4;0,4;12;19,8;31,8;1,7;17,3;116;55,1;;;;;;;;;;
01-01-2023 01:378;44;29;1,5;0;203;33,3;0,2;4,7;6,7;11,3;1,7;23,1;670;43,6;;;;;;;;;;
01-01-2023 02:378;49;28;1,5;0;224;44,4;0,4;4,7;9,7;14,4;1,9;24,3;608;37,8;;;;;;;;;;
01-01-2023 03:378;78;44;3,5;0;233;37,9;0,5;10,3;18;28,3;2,7;22;310;48,1;;;;;;;;;;
01-01-2023 04:378;48;32;2,8;0;222;32,2;0,4;6,8;12;18,8;1,9;19,9;161;55,3;;;;;;;;;;
01-01-2023 05:378;56;33;1,1;0;209;26,6;0,6;8,1;16,9;25,1;1,6;18,1;26;58,1;;;;;;;;;;
