;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
DateTime;;;;;;;;;;;;;;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;;Temperatura;Rad Solar;HR;;;;;;;;BBP;BC ug/m3
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;;°C;W/M²;%;;;;;;;;%;µg/m3
01-01-2023 06:06;20;14;0,5;9,4;296;4,1;0,4;0,9;14,9;15,8;;10,9;0;93;;;;;;;;0;0
01-01-2023 07:06;0;16;0,4;3,7;246;4,2;0,3;0,7;15;15,6;;10,8;0;94;;;;;;;;0;0
01-01-2023 01:07;0;16;0,1;1,7;206;4,5;0,3;0,4;12,8;13,2;;10,8;0;95;;;;;;;;0;0
01-01-2023 02:07;0;17;0,2;1,4;106;5,1;0,2;0,2;9,6;9,9;;10,7;0;94;;;;;;;;0;0
01-01-2023 03:07;0;13;0,2;3,3;103;5;0,2;0,3;9,2;9,5;;10,6;0;94;;;;;;;;0;0
01-01-2023 04:07;0;18;0,2;2,8;302;4,1;0,3;0,5;12,1;12,6;;10,5;0;94;;;;;;;;0;0
01-01-2023 05:07;18;9;0,6;0;314;2,9;0,3;1;16;17;;10,4;0;94;;;;;;;;0;0
01-01-2023 06:07;16;5;0,5;0;315;2,2;0,4;4,2;18,6;22,8;;10,3;4;94;;;;;;;;0;0
01-01-2023 07:07;34;4;0,5;0;305;1,7;0,7;9,5;20,9;30,4;;10,8;37;92;;;;;;;;0;0
01-01-2023 01:08;29;17;0,3;0;299;2,9;0,7;11,4;24,7;36,1;;12,2;136;85;;;;;;;;0;0
01-01-2023 02:08;20;20;0,1;0;81;6,6;0,6;8,9;23,5;32,4;;15,1;344;69;;;;;;;;0;0
01-01-2023 03:08;21;21;0,5;0;3;10,1;0,5;4,8;18,3;23,1;;17,2;413;57;;;;;;;;0;0
01-01-2023 04:08;22;16;0,9;0;339;11,9;0,4;2,8;15,7;18,5;;17,2;322;55;;;;;;;;0;0
01-01-2023 05:08;22;12;1,2;0;311;12;0,4;2,6;13,8;16,4;;16,8;238;58;;;;;;;;0;0
01-01-2023 06:08;20;17;1,8;0;305;11,2;0,3;2,2;12,1;14,3;;16,5;177;61;;;;;;;;0;0
01-01-2023 07:08;21;6;1,8;0;299;10,3;0,3;2,6;11,1;13,7;;16,8;234;61;;;;;;;;0;0
01-01-2023 01:09;19;19;1,7;0;290;9,9;0,3;2,7;10,5;13,2;;17,1;279;61;;;;;;;;0;0
01-01-2023 02:09;17;17;1,3;0,2;278;8,5;0,4;3,4;12;15,5;;15,4;162;69;;;;;;;;0;0
01-01-2023 03:09;24;13;0,7;0,5;290;5,4;0,5;3,8;16,1;20;;13,1;35;80;;;;;;;;0;0
01-01-2023 04:09;18;6;0,8;1;73;2,8;0,6;5,4;17,4;22,8;;12,1;4;85;;;;;;;;0;0
01-01-2023 05:09;16;16;1,9;0,7;102;1,9;0,6;7,2;14,8;22;;11,2;0;88;;;;;;;;0;0
01-01-2023 06:09;16;8;1,8;0;106;1,7;0,5;7,6;12,9;20,5;;11;0;87;;;;;;;;0;0
01-01-2023 07:09;16;8;1,3;0;107;0,9;0,5;8,8;15,6;24,4;;11,1;0;87;;;;;;;;0;0
01-01-2023 01:10;19;8;0,1;0;34;1,3;0,5;5,5;19,6;25,1;;11,3;0;86;;;;;;;;0;0
01-01-2023 02:10;13;10;0,5;0;296;3;0,4;1,6;18,2;19,8;;11,4;0;85;;;;;;;;0;0
01-01-2023 03:10;15;11;0;0;24;2,6;0,3;1,2;14,5;15,7;;10,9;0;87;;;;;;;;0;0
01-01-2023 04:10;14;11;0,4;0;89;1,5;0,3;1,4;12,2;13,6;;10,5;0;89;;;;;;;;0;0
01-01-2023 05:10;8;8;0,4;0;339;3,2;0,2;0,7;11,8;12,5;;10,6;0;89;;;;;;;;0;0
01-01-2023 06:10;18;5;0,9;0;302;4,3;0,2;0,4;13,8;14,2;;10,6;0;88;;;;;;;;0;0
01-01-2023 07:10;17;3;0,8;0;286;3,8;0,2;0,8;15,2;15,9;;10,6;0;87;;;;;;;;0;0
01-01-2023 01:11;18;4;0,5;0;283;2,3;0,3;1,8;18,2;19,9;;10,3;0;87;;;;;;;;0;0
01-01-2023 02:11;27;10;0,3;0;295;0,4;0,5;9,1;23,6;32,7;;10,4;8;88;;;;;;;;0;0
01-01-2023 03:11;27;17;0,2;0;320;0,6;0,6;15,6;25,3;41;;10,9;33;86;;;;;;;;0;0
01-01-2023 04:11;28;12;0,3;0;270;3,1;0,7;15,8;23,5;39,3;;12,8;180;76;;;;;;;;0;0
01-01-2023 05:11;18;16;0,5;0;293;7,2;0,7;11,8;20,3;32,1;;15,5;352;63;;;;;;;;0;0
01-01-2023 06:11;36;18;0,5;0;311;10,5;0,6;6,6;19,5;26,1;;17;369;55;;;;;;;;0;0
01-01-2023 07:11;37;17;0,4;0;319;12,2;0,5;4,9;20,7;25,6;;17,6;336;52;;;;;;;;0;0
01-01-2023 01:12;44;18;0,7;0;22;13,2;0,5;3,5;22,3;25,8;;17,6;237;52;;;;;;;;0;0
01-01-2023 02:12;44;28;0,8;0;342;14;0,5;2,5;19,3;21,8;;18,2;300;53;;;;;;;;0;0
01-01-2023 03:12;49;24;1,9;0;302;12,6;0,4;2,6;13,7;16,4;;18,9;430;56;;;;;;;;0;0
01-01-2023 04:12;25;20;2,1;0;309;9,6;0,4;2,9;13,7;16,7;;17;271;66;;;;;;;;0;0
01-01-2023 05:12;28;19;1,6;0;305;8;0,4;3;14,5;17,5;;15,4;124;73;;;;;;;;0;0
01-01-2023 06:12;35;26;1,3;0;290;6,8;0,4;2,7;15,6;18,3;;14,3;64;77;;;;;;;;0;0
01-01-2023 07:12;44;18;0,9;0;289;5;0,5;2,4;19;21,4;;13,3;5;81;;;;;;;;0;0
01-01-2023 01:13;43;28;0,8;0;301;3;0,6;2,4;23,1;25,5;;13;0;82;;;;;;;;0;0
01-01-2023 02:13;39;24;0,9;0;308;2,3;0,6;2;23,6;25,7;;12,9;0;83;;;;;;;;0;0
01-01-2023 03:13;28;28;0,3;0;339;2,2;0,5;2;20,7;22,7;;12,8;0;82;;;;;;;;0;0
01-01-2023 04:13;28;16;0,7;0;101;1,4;0,5;3,5;16,2;19,7;;12,5;0;82;;;;;;;;0;0
01-01-2023 05:13;32;15;0,4;0;29;1;0,4;3,5;16,6;20,1;;12,3;0;84;;;;;;;;0;0
01-01-2023 06:13;24;20;0,9;0;345;0,9;0,4;2;20,1;22,1;;12,1;0;85;;;;;;;;0;0
01-01-2023 07:13;22;22;0,4;0;13;0,8;0,4;1,8;18,9;20,7;;11,7;0;85;;;;;;;;0;0
01-01-2023 01:14;23;22;0,2;0;77;1;0,3;1,6;15,2;16,9;;11,6;0;85;;;;;;;;0;0
01-01-2023 02:14;25;12;0,4;0,1;78;1,8;0,3;1,3;13;14,3;;11,6;0;85;;;;;;;;0;0
01-01-2023 03:14;25;12;0,6;0,1;67;3,1;0,2;0,9;13,2;14,1;;11,3;0;86;;;;;;;;0;0
01-01-2023 04:14;17;14;0,5;0;52;3,2;0,3;1;14,8;15,8;;11;0;87;;;;;;;;0;0
01-01-2023 05:14;27;15;0,2;0;79;2,2;0,4;4,2;16,9;21,1;;11;9;84;;;;;;;;0;0
01-01-2023 06:14;18;12;0,6;0;158;4,3;0,5;7,2;15,6;22,7;;11,7;107;76;;;;;;;;0;0
01-01-2023 07:14;29;14;0,6;0;193;7,3;0,4;7,2;13,6;20,8;;14,1;277;64;;;;;;;;0;0
01-01-2023 01:15;21;21;0,3;0;256;8,6;0,4;5,6;12,2;17,8;;16,8;375;55;;;;;;;;0;0
01-01-2023 02:15;22;21;2;0;110;10,3;0,3;3,3;8,2;11,5;;16,7;448;56;;;;;;;;0;0
01-01-2023 03:15;24;17;3,2;0;108;11,4;0,2;2,3;6,2;8,6;;16,1;403;57;;;;;;;;0;0
01-01-2023 04:15;31;16;1,2;0;91;11,1;0,3;2,3;8,5;10,9;;16,7;259;56;;;;;;;;0;0
01-01-2023 05:15;24;24;1,2;0;100;11;0,3;2,2;8,4;10,6;;17;214;54;;;;;;;;0;0
01-01-2023 06:15;21;18;2,5;0;124;11,4;0,3;2,1;6,1;8,2;;16,8;225;54;;;;;;;;0;0
01-01-2023 07:15;17;11;2,8;0;128;10,9;0,3;2,8;6,7;9,5;;16,2;187;57;;;;;;;;0;0
01-01-2023 01:16;23;17;3,1;0;120;10;0,3;3,5;7,6;11;;15,1;83;61;;;;;;;;0;0
01-01-2023 02:16;16;10;3,1;0;116;9,1;0,4;4,1;8,5;12,7;;14,1;21;65;;;;;;;;0;0
01-01-2023 03:16;27;18;2;0;118;6,6;0,5;5,6;13,1;18,7;;13,6;2;67;;;;;;;;0;0
01-01-2023 04:16;21;19;1,1;0;111;4,1;0,6;6;15,7;21,7;;13;0;70;;;;;;;;0;0
01-01-2023 05:16;22;11;1,4;0;95;3,6;0,5;4,2;11,6;15,8;;12,5;0;72;;;;;;;;0;0
01-01-2023 06:16;25;10;1,7;0;86;4;0,3;2,8;8,7;11,5;;12,3;0;73;;;;;;;;0;0
01-01-2023 07:16;42;12;1,2;0;75;2,4;0,5;7;13,6;20,6;;12,3;0;77;;;;;;;;0;0
01-01-2023 01:17;18;0;1,1;0;93;0,8;0,5;8,5;15;23,5;;11,7;0;83;;;;;;;;0;0
01-01-2023 02:17;21;13;1,6;0;105;1,8;0,3;3,5;8,7;12,1;;11,2;0;85;;;;;;;;0;0
01-01-2023 03:17;16;16;1,8;0;106;2,3;0,2;1;5,1;6,1;;11;0;85;;;;;;;;0;0
01-01-2023 04:17;21;19;1,7;0;109;1,8;0,2;1;4,9;5,9;;10,9;0;86;;;;;;;;0;0
01-01-2023 05:17;19;17;1,5;0;108;1,9;0,2;0,9;5,3;6,3;;10,9;0;85;;;;;;;;0;0
01-01-2023 06:17;27;18;1,4;0;104;1,9;0,2;1,9;7,1;9;;10,5;0;85;;;;;;;;0;0
01-01-2023 07:17;26;19;1,3;0;110;1,3;0,3;5,7;11,6;17,3;;10,1;0;85;;;;;;;;0;0
01-01-2023 01:18;30;29;1,5;0;111;1,1;0,4;9,9;13;22,9;;9,8;9;84;;;;;;;;0;0
01-01-2023 02:18;43;16;1,3;0;105;0,9;0,7;19,6;14,2;33,8;;10,4;50;82;;;;;;;;0;0
01-01-2023 03:18;68;22;0,6;0;88;1,9;0,9;30,2;20,9;51;;12,9;197;75;;;;;;;;0;0
01-01-2023 04:18;67;47;0,4;0;40;5,4;0,9;24,3;25;49,3;;15,5;342;65;;;;;;;;0;0
01-01-2023 05:18;0;59;1;0;87;8,6;0,6;10,1;18,4;28,5;;16,9;370;58;;;;;;;;0;0
01-01-2023 06:18;57;11;2,3;0;105;9,6;0,4;3,3;9,2;12,5;;17,2;305;55;;;;;;;;0;0
01-01-2023 07:18;28;28;2,5;0;113;10,1;0,4;2,7;7;9,7;;17,3;282;54;;;;;;;;0;0
01-01-2023 01:19;34;13;0,8;0;136;12,2;0,4;3,2;10;13,2;;18,6;324;51;;;;;;;;0;0
