;;;;;;;;;;
;;;;;;;;;;
DateTime;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb
01-01-2023 01:00;40,4;40;0,4;0;194;0;0,7;2,7;18,6;21,4
01-01-2023 02:00;39,9;29;0,3;0;134;0;0,7;3;17;20
01-01-2023 03:00;43;43;0,3;0;141;0;0,7;4,9;17,6;22,5
01-01-2023 04:00;43,4;43;0,4;0;289;0;0,6;3,5;16,6;20
01-01-2023 05:00;42,2;33;0,2;0;156;0;0,6;2,6;15;17,6
01-01-2023 06:00;42,1;30;0,5;0;147;0;0,6;4,2;14;18,2
01-01-2023 07:00;31;26;0,4;0;118;0;0,6;7,3;11,6;18,9
01-01-2023 01:01;22,3;20;0,7;0;128;0;0,7;12,2;13,7;25,9
01-01-2023 02:01;22,1;20;1,2;0;273;0;0,5;7,2;13,4;20,6
01-01-2023 03:01;0;21;0,5;0;51;0;0,5;4,2;16,3;20,5
01-01-2023 04:01;17;17;1,3;0,1;282;0;0,4;3,3;12,2;15,5
01-01-2023 05:01;17;17;0,1;0;4;0;0,3;2,6;8,6;11,2
01-01-2023 06:01;25,6;12;0,5;0;252;0;0,3;1,8;6,6;8,4
01-01-2023 07:01;18,8;7;1,1;0;313;0;0,4;1,7;7,8;9,5
01-01-2023 01:02;15;15;4,7;0;283;0;0,5;2,3;12,1;14,4
01-01-2023 02:02;0;30;5,6;0;283;0;0,5;1,6;12,8;14,4
01-01-2023 03:02;0;28;0,6;0;244;0;0,6;2,4;15,8;18,2
01-01-2023 04:02;0;29;2,2;0;280;0;0,7;3,3;20,4;23,6
01-01-2023 05:02;32,2;24;1,6;0;264;0;0,7;3,9;21,3;25,2
01-01-2023 06:02;23,8;22;0,2;0;173;0;0,9;8,7;23,8;32,5
01-01-2023 07:02;23,8;23;0,5;0;96;0;0,7;4;24;28
01-01-2023 01:03;20,2;15;0,3;0;138;0;0,5;3,2;17,2;20,3
