;PM10;PM2.5;Vel Viento 10M;Precipitacion;Dir Viento 10M;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;;HR;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;;%;
01-01-2023 01:11;37;27;0,5;0;212;2;0,9;63;12,1;75,1;0;12,7;98;;84,8;
01-01-2023 02:11;42;26;0,8;0;255;7,9;0,4;22,4;13;35,4;0;15,8;249;;68,9;
01-01-2023 03:11;41;20;0,8;0;241;19,8;0,2;6,3;6;12,3;0;18,3;522;;57,49;
01-01-2023 04:11;23;11;1,2;0;249;28,5;0,2;3,8;4,8;8,7;0;20;576;;47,14;
01-01-2023 05:11;29;17;2,4;0;278;30,6;0,1;1,2;1,6;2,9;0;19,4;444;;48,92;
01-01-2023 01:12;22;4;2,5;0;329;23,6;0,1;0,8;0;0,7;0;17,9;283;;55,74;
01-01-2023 02:12;15;5;1,7;0;337;24,7;0,1;2;1,2;3,2;0;20,1;534;;52,03;
01-01-2023 03:12;15;3;1,4;0;324;25,1;0,1;0,8;0,9;1,7;0;19,3;211;;49,04;
01-01-2023 04:12;17;3;2,2;0;331;23,2;0,1;0;0;0;0;17,5;177;;58,61;
01-01-2023 05:12;13;2;2,1;0;344;19,7;0,1;1,1;2,3;3,5;0;17;120;;60,68;
01-01-2023 01:13;17;2;1;0,4;148;14,9;0,2;2,6;6,2;8,8;0;14,4;5;;65,41;
01-01-2023 02:13;13;6;0,4;0;238;6,7;0,3;5,3;10,5;15,8;0;12,7;0;;74,59;
01-01-2023 03:13;22;7;0,2;0;301;0,6;0,5;22,1;14,2;36,3;0;12,4;0;;78,34;
01-01-2023 04:13;26;6;0,2;0;343;0,6;0,6;48,6;11,3;60;0;12;0;;80,1;
01-01-2023 05:13;35;12;0,4;0;331;0,6;0,6;36;9,7;45,7;0;12;0;;82,63;
01-01-2023 01:14;23;10;0,3;0;307;0,7;0,6;35,4;11,9;47,2;0;12,1;0;;81,94;
01-01-2023 02:14;26;13;0,3;0;329;0,6;0,5;26,1;11,5;37,6;0;11,6;0;;81;
01-01-2023 03:14;23;10;0,4;0;324;0,5;0,5;32;10,5;42,5;0;11,3;0;;82,94;
01-01-2023 04:14;29;17;0,5;0;342;0,5;0,4;31,7;10,7;42,4;0;11,3;0;;82,66;
01-01-2023 05:14;26;8;0,3;0;315;0,6;0,3;21,8;10,8;32,6;0;11,3;0;;82,1;
01-01-2023 01:15;24;7;0,2;0;320;0,5;0,3;22,7;10,3;33;0;11,2;0;;82,83;
01-01-2023 02:15;16;9;0,3;0;251;0,5;0,3;34,6;9,7;44,3;0;11,1;0;;82,77;
01-01-2023 03:15;25;12;0,3;0;350;0,5;0,8;83,5;9,1;92,4;0;10,4;0;;82,71;
01-01-2023 04:15;31;19;0,6;0,1;342;0,6;0,8;85,4;9,3;94,8;0;10,8;9;;84,42;
01-01-2023 05:15;36;21;0,6;0;306;3,3;0,5;38;9,2;47,2;0;13,1;167;;81,18;
01-01-2023 01:16;35;21;0,5;0;291;10,4;0,3;14,3;8,9;23,2;0;15,9;269;;63,51;
01-01-2023 02:16;30;17;0,9;0;272;20,1;0,1;4,3;2,9;7,2;0;18,4;500;;53,51;
01-01-2023 03:16;16;8;0,9;0;289;23,5;0,1;3,1;2,9;6;0;20,1;463;;48,75;
01-01-2023 04:16;18;9;0,9;0;234;27,4;0,1;2,6;3;5,5;0;21,2;491;;45,78;
01-01-2023 05:16;23;20;1,1;0;244;32,1;0,2;3;5,6;8,6;0;21,7;411;;42,73;
01-01-2023 01:17;27;15;1,1;0;291;30,9;0,1;0,5;1,8;2,4;0;19,6;110;;49,47;
01-01-2023 02:17;20;11;3,1;0;266;27,4;0;0;0;0;0;19,9;403;;52,66;
01-01-2023 03:17;15;8;2,8;0;259;24,4;0,1;0,5;0;0,1;0;19,7;362;;52,03;
01-01-2023 04:17;23;9;1,4;0;229;23,1;0,1;0,3;0;0,4;0;18,7;155;;55,92;
01-01-2023 05:17;24;7;1;0;246;21,2;0,1;0,3;0,1;0,3;0;16,6;31;;61,29;
01-01-2023 01:18;14;4;0,7;0;318;18,3;0,1;0,2;4,4;4,6;0;14,3;0;;60,2;
01-01-2023 02:18;20;6;0,5;0;279;14,8;0,2;0,3;5,9;6,2;0;13,7;0;;68,47;
01-01-2023 03:18;18;8;0,4;0;298;7,6;0,4;10;9,5;19,5;0;12,5;0;;73,88;
01-01-2023 04:18;24;11;0,4;0;303;0,7;0,7;46,8;14,9;61,6;0;12,2;0;;78,65;
01-01-2023 05:18;30;10;0,3;0;276;0,6;0,8;49,2;13,3;62,6;0;11,9;0;;80,12;
01-01-2023 01:19;36;20;0,5;0;337;0,6;0,5;27,5;12,3;39,9;0;12,4;0;;80,04;
01-01-2023 02:19;38;24;0,3;0;328;0,7;0,7;50,5;13,9;64,4;0;12,6;0;;79,46;
01-01-2023 03:19;43;27;0,3;0;308;0,6;0,6;60,7;12,3;72,9;0;11,7;0;;79,87;
01-01-2023 04:19;33;19;0,4;0;255;0,9;0,4;53,5;11,7;65,2;0;11,7;0;;82,98;
01-01-2023 05:19;32;14;0,7;0;143;6,7;0,2;14,8;8,5;23,3;0;12,2;0;;79,82;
01-01-2023 01:20;15;10;0,8;0;142;7,3;0,2;20,3;10;30,3;0;12,4;0;;77,98;
01-01-2023 02:20;20;5;0,7;0;6;2,6;0,4;36;12;48;0;12,4;0;;77,99;
01-01-2023 03:20;29;18;0,5;0;351;0,9;0,6;42,7;12,4;55,1;0;12,3;11;;80,94;
